dept_no,emp_no,from_date,to_date
d001,110022,1/1/85,10/1/91
d001,110039,10/1/91,1/1/99
d002,110085,1/1/85,12/17/89
d002,110114,12/17/89,1/1/99
d003,110183,1/1/85,3/21/92
d003,110228,3/21/92,1/1/99
d004,110303,1/1/85,9/9/88
d004,110344,9/9/88,8/2/92
d004,110386,8/2/92,8/30/96
d004,110420,8/30/96,1/1/99
d005,110511,1/1/85,4/25/92
d005,110567,4/25/92,1/1/99
d006,110725,1/1/85,5/6/89
d006,110765,5/6/89,9/12/91
d006,110800,9/12/91,6/28/94
d006,110854,6/28/94,1/1/99
d007,111035,1/1/85,3/7/91
d007,111133,3/7/91,1/1/99
d008,111400,1/1/85,4/8/91
d008,111534,4/8/91,1/1/99
d009,111692,1/1/85,10/17/88
d009,111784,10/17/88,9/8/92
d009,111877,9/8/92,1/3/96
d009,111939,1/3/96,1/1/99